press_kPa,temp_C,v,u,h,s
240,-5.38,0.08398,227.17,247.32,0.9348
240,0,0.08617,231.3,251.98,0.952
240,10,0.09026,239,260.66,0.9832
240,20,0.09423,246.76,269.38,1.0134
240,30,0.9812,254.63,278.17,1.0429
240,40,0.10193,262.61,287.07,1.0718
240,50,0.1057,270.73,296.09,1.1002
240,60,0.10942,278.98,305.24,1.1281
240,70,0.1131,287.38,314.53,1.1555
240,80,0.11675,295.93,323.95,1.1826
240,90,0.12038,304.62,333.51,1.2093
240,100,0.12398,313.46,343.22,1.2356
